Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Mortality burden and economic loss attributable to cold and heat in Central and South America","Most of the mortality burden in Central and South American countries is caused by cold, generating annual economic losses of $2.1 billion and $290.7 million, compared to heat.","Aurelio Tobías, Carmen Íñiguez, Magali Hurtado Díaz, Horacio Riojas, Luis Abdón Cifuentes, Dominic Royé, R. Abrutzky, M. Coelho, P. Saldiva, Nicolás Valdés Ortega, Patricia Matus Correa, S. Osorio, Gabriel Carrasco, V. Colistro, Mathilde Pascal, O. Chanel, L. Madaniyazi, Antonio Gasparrini",2024,3,"Background: We quantify the mortality burden and economic loss attributable to nonoptimal temperatures for cold and heat in the Central and South American countries in the Multi-City Multi-Country (MCC) Collaborative Research Network. Methods: We collected data for 66 locations from 13 countries in Central and South America to estimate location-specific temperature–mortality associations using time-series regression with distributed lag nonlinear models. We calculated the attributable deaths for cold and heat as the 2.5th and 97.5th temperature percentiles, above and below the minimum mortality temperature, and used the value of a life year to estimate the economic loss of delayed deaths. Results: The mortality impact of cold varied widely by country, from 9.64% in Uruguay to 0.22% in Costa Rica. The heat-attributable fraction for mortality ranged from 1.41% in Paraguay to 0.01% in Ecuador. Locations in arid and temperate climatic zones showed higher cold-related mortality (5.10% and 5.29%, respectively) than those in tropical climates (1.71%). Arid and temperate climatic zones saw lower heat-attributable fractions (0.69% and 0.58%) than arid climatic zones (0.92%). Exposure to cold led to an annual economic loss of $0.6 million in Costa Rica to $472.2 million in Argentina. In comparison, heat resulted in economic losses of $0.05 million in Ecuador to $90.6 million in Brazil. Conclusion: Most of the mortality burden for Central and South American countries is caused by cold compared to heat, generating annual economic losses of $2.1 billion and $290.7 million, respectively. Public health policies and adaptation measures in the region should account for the health effects associated with nonoptimal temperatures.","non-rct observational study","Environmental Epidemiology","1","10.1097/ee9.0000000000000335","https://consensus.app/papers/mortality-burden-and-economic-loss-attributable-to-cold-tob%C3%ADas-%C3%AD%C3%B1iguez/02c2d2378ef2506cbb1ec12d66a51568/"
"Effect Modification of Temperature Variability on the Association Between Ambient Heat and Hospitalization: A Nationwide Study in Brazil Between 2000 and 2015","In Brazil, heat-hospitalization risk increases by 4.4% and 2.7% per 5°C increase in daily mean temperature on days with low and high temperature variability, respectively.","Mengwei Zhuang, Yanwen Cao, Shanshan Li, M. Coelho, P. Saldiva, Yuming Guo, Qi Zhao",2025,0,"Little evidence is available about how temperature variability (TV) may modify the association between ambient heat and health conditions, especially in less developed countries, for example, Brazil. This study explored the change in heat-hospitalization association from days with low to high temperature variabilities (TVs) in Brazil. We collected data on daily hospitalization and weather from 1,814 Brazilian cities during the 2000-2015 hot seasons. For each city, the heat-hospitalization association was estimated using the quasi-Poisson regression with constrained lag model on days with low and high TVs, respectively. City-specific effect estimates were then pooled using random-effect meta-analysis. Stratified analyses were performed by region, sex, age-group and cause category. Our results showed that at the national level the risk of hospitalization increased by 4.4% [95% confidence interval (CI): 4.0%-4.7%] and 2.7% (95%CI: 2.4%-3.0%) per 5°C increase in daily mean temperature on days with low and high TVs, respectively. The effect modification of TV on heat-hospitalization association was significant in the northeast, southeast and south, and for most population groups except for the children aged 0-4 years and the elderly aged ≥80 years. Significant effect modification of TV was observed in injury and poisoning, respiratory and cardiovascular diseases. Our findings suggest that in Brazil, the heat-health association is substantially modified by exposure to TV. The high heat susceptibility on the day with low TV warrants particular concern in order reducing the risk of disease burden.","meta-analysis","GeoHealth","1","10.1029/2024gh001284","https://consensus.app/papers/effect-modification-of-temperature-variability-on-the-zhuang-cao/31a4b307fece563aa6e3320141826fda/"
"Impacts of heat stress conditions on mortality from respiratory and cardiovascular diseases in Brazil","Heat stress conditions in Brazil are increasing, particularly in the Northern and Center-Western regions, and are associated with an upward trend in mortality from cardiovascular and respiratory diseases.","B. F. A. Oliveira, L. Jacobson, Letícia Palazzi Perez, I. Silveira, W. Junger, S. Hacon",2020,7,"This study assesses the risk of exposure to heat stress conditions and their potential impact on mortality from cardiovascular and respiratory diseases in Brazilian capital cities for warming levels of 1.5 °C, 2.0 °C and 4.0 °C in the RCP8.5 scenario. The risk of exposure and the impact of heat stress conditions on mortality were measured by the Wet Bulb Globe Temperature (WBGT) index. The impact on health was estimated by applying exposure-response curves between WBGT and health outcomes in the projections. The potential impact on mortality was measured by attributable fraction of mortality due to heat stress. The results showed an increase in heat stress conditions for Brazil, especially in the Northern and Center-Western regions. The estimated curves showed an association between the WBGT and mortality by cardiovascular and respiratory diseases in Brazil, with an upward impact trend, according to the levels of warming and heterogeneous results among the capitals.","non-rct observational study","","","10.18472/sustdeb.v11n3.2020.33970","https://consensus.app/papers/impacts-of-heat-stress-conditions-on-mortality-from-oliveira-jacobson/9d8aa7d8896b5531ae5465879ba91dfa/"
"The effect of ambient temperature on cardiovascular mortality in 27 Brazilian cities.","Low and high temperatures increase cardiovascular mortality risk in most Brazilian cities, with greater effects in locations with a broader temperature range.","I. Silveira, B. F. A. Oliveira, T. Cortes, W. Junger",2019,67,"","meta-analysis","The Science of the total environment","1","10.1016/j.scitotenv.2019.06.493","https://consensus.app/papers/the-effect-of-ambient-temperature-on-cardiovascular-silveira-oliveira/5582c4171fea5091b10637c5cf6c57e7/"
"Ambient heat and hospitalisation for COPD in Brazil: a nationwide case-crossover study","Exposure to ambient heat in Brazil is positively associated with hospitalization for COPD, particularly during the late hot season.","Qi Zhao, Shanshan Li, M. Coelho, P. Saldiva, R. Xu, R. Huxley, M. Abramson, Yuming Guo",2019,40,"Heat exposure has been related to increased morbidity and mortality for several health outcomes. There is little evidence whether this is also true for COPD. This study quantified the relationship between ambient heat and hospitalisation for COPD in the Brazilian population. Data on hospitalisations for COPD and weather conditions were collected from 1642 cities during the 2000-2015 hot seasons. A time-stratified, case-crossover design was used for city-specific analyses, which were then pooled at the regional and national levels using random-effect meta-analyses. Stratified analyses were performed by sex, age group and early/late hot season. Annual change in the association was examined using a random-effect meta-regression model. The OR of hospitalisation was 1.05 (95% CI 1.04 to 1.06) for every 5℃ increase in daily mean temperature at the national level, with the effect estimate stronger in the late hot season compared with the early hot season. The effect was similar in women and in men but was greatest for those aged ≥75 years. The association was stronger in the central west and southeast regions and minimal in the northeast. Assuming a causal relationship, 7.2% of admissions were attributable to heat exposure. There was no significant temporal decline in the impact of ambient heat over the 16-year study period. In Brazil, exposure to ambient heat was positively associated with hospitalisation for COPD, particularly during the late hot season. These data add to the growing evidence base implicating global warming as being an important contributor to the future healthcare burden.","meta-analysis","Thorax","1","10.1136/thoraxjnl-2019-213486","https://consensus.app/papers/ambient-heat-and-hospitalisation-for-copd-in-brazil-a-zhao-li/952fb97f692a5b3689e4649336a4e157/"
"Estimating the cause-specific relative risks of non-optimal temperature on daily mortality: a two-part modelling approach applied to the Global Burden of Disease Study","Non-optimal temperature exposure can increase or decrease the risk of mortality for diverse causes of death, with heat effects dominating in high-temperature regions and cold effects dominating in low-temperature regions.","K. Burkart, Michael Brauer, A. Aravkin, W. Godwin, Simon Iain Hay, Jaiwei He, Vincent C Iannucci, S. Larson, Stephen S. Lim, Jiangmei Liu, Christopher J. L. Murray, Peng Zheng, Maigeng Zhou, J. Stanaway",2021,199,"","non-rct observational study","Lancet (London, England)","1","10.1016/s0140-6736(21)01700-1","https://consensus.app/papers/estimating-the-causespecific-relative-risks-of-burkart-brauer/4cd74a1b8f4253cebb3be7c38b08288e/"
"Geographic, Demographic, and Temporal Variations in the Association between Heat Exposure and Hospitalization in Brazil: A Nationwide Study between 2000 and 2015","Heat exposure in Brazil is associated with 6.2% of hospitalizations, with higher rates in children, women, and those with higher heat burdens, and no evidence of thermal adaptation at the national level.","Qi Zhao, Shanshan Li, M. Coelho, P. Saldiva, Kejia Hu, J. Arblaster, N. Nicholls, R. Huxley, M. Abramson, Yuming Guo",2019,48,"Limited evidence is available regarding the association between heat exposure and morbidity in Brazil and how the effect of heat exposure on health outcomes may change over time. This study sought to quantify the geographic, demographic and temporal variations in the heat–hospitalization association in Brazil from 2000–2015. Data on hospitalization and meteorological conditions were collected from 1,814 cities during the 2000–2015 hot seasons. Quasi-Poisson regression with constrained lag model was applied to examine city-specific estimates, which were then pooled at the regional and national levels using random-effect meta-analyses. Stratified analyses were performed by sex, 10 age groups, and 11 cause categories. Meta-regression was used to examine the temporal change in estimates of heat effect from 2000 to 2015. For every 5°C increase in daily mean temperature during the 2000–2015 hot seasons, the estimated risk of hospitalization over lag 0-7 d rose by 4.0% [95% confidence interval (CI): 3.7%, 4.3%] nationwide. Estimated 6.2% [95% empirical CI (eCI): 3.3%, 9.1%] of hospitalizations were attributable to heat exposure, equating to 132 cases (95% eCI: 69%, 192%) per 100,000 residents. The attributable rate was greatest in children [Formula: see text] and was highest for hospitalizations due to infectious and parasitic diseases. Women of reproductive age and those [Formula: see text] had higher heat burden than men. The attributable burden was greatest for cities in the central west and the inland of the northeast; lowest in the north and eastern coast. Over the 16-y period, the estimated heat effects declined insignificantly at the national level. In Brazil's hot seasons, 6% of hospitalizations were estimated to be attributed to heat exposure. As there was no evidence indicating that thermal adaptation had occurred at the national level, the burden of hospitalization associated with heat exposure in Brazil is likely to increase in the context of global warming. https://doi.org/10.1289/EHP3889.","meta-analysis","Environmental Health Perspectives","1","10.1289/ehp3889","https://consensus.app/papers/geographic-demographic-and-temporal-variations-in-the-zhao-li/b9ac0f0c4174555698f7ca32f7773b4e/"
"The association between heatwaves and risk of hospitalization in Brazil: A nationwide time series study between 2000 and 2015","Heatwaves in Brazil are associated with increased hospitalization risk, particularly in children, elderly, and perinatal conditions, with variations across regions and time.","Qi Zhao, Shanshan Li, M. Coelho, P. Saldiva, Kejia Hu, R. Huxley, M. Abramson, Yuming Guo",2019,76,"Background To our knowledge, no study has assessed the association between heatwaves and risk of hospitalization and how it may change over time in Brazil. We quantified the heatwave–hospitalization association in Brazil during 2000–2015. Methods and findings Daily data on hospitalization and temperature were collected from 1,814 cities (>78% of the national population) in the hottest five consecutive months during 2000–2015. Twelve types of heatwaves were defined with daily mean temperatures of ≥90th, 92.5th, 95th, or 97.5th percentiles of year-round temperature and durations of ≥2, 3, or 4 consecutive days. The city-specific association was estimated using a quasi-Poisson regression with constrained distributed lag model and then pooled at the national level using random-effect meta-analysis. Stratified analyses were performed by five regions, sex, 10 age groups, and nine cause categories. The temporal change in the heatwave–hospitalization association was assessed using a time-varying constrained distributed lag model. Of the 58,400,682 hospitalizations (59% women), 24%, 34%, 21%, and 19% of cases were aged <20, 20–39, 40–59, and ≥60 years, respectively. The city-specific year-round daily mean temperatures were 23.5 ± 2.8 °C on average, varying from 26.8 ± 1.8 °C for the 90th percentile to 28.0 ± 1.6 °C for the 97.5th percentile. We observed that the risk of hospitalization was most pronounced for heatwaves characterized by high daily temperatures and long durations across Brazil, except for the minimal association in the north (the hottest region). After controlling for temperature, the association remained for severe heatwaves in the south and southeast (cold regions). Children 0–9 years, the elderly ≥70 years, and admissions for perinatal conditions were most strongly associated with heatwaves. Over the study period, the strength of the heatwave–hospitalization association declined substantially in the south, while an apparent increase was observed in the southeast. The main limitations of this study included the lack of data on individual temperature exposure and measured air pollution. Conclusions There are geographic, demographic, cause-specific, and temporal variations in the heatwave–hospitalization associations across the Brazilian population. Considering the projected increase in frequency, duration, and intensity of heatwaves, future strategies should be developed, such as building early warning systems, to reduce the health risk associated with heatwaves in Brazil.","","PLoS Medicine","1","10.1371/journal.pmed.1002753","https://consensus.app/papers/the-association-between-heatwaves-and-risk-of-zhao-li/f1fb8bd6d0d65a2793ec5d3ac997ce4b/"
"Excess mortality attributed to heat and cold: a health impact assessment study in 854 cities in Europe.","","Pierre Masselot, M. Mistry, J. Vanoli, Rochelle Schneider, Tamara Iungman, David Garcia-Leon, J. Ciscar, L. Feyen, H. Orru, A. Urban, S. Breitner, V. Huber, Alexandra Schneider, E. Samoli, M. Stafoggia, F. de'Donato, S. Rao, B. Armstrong, M. Nieuwenhuijsen, A. Vicedo-Cabrera, A. Gasparrini",2023,105,"","","The Lancet. Planetary health","1","10.1016/s2542-5196(23)00023-2","https://consensus.app/papers/excess-mortality-attributed-to-heat-and-cold-a-health-masselot-mistry/fb1a461604fd5d14af5b4cfc0d1fed5b/"
"The effect of air temperature on mortality from cerebrovascular diseases in Brazil between 1996 and 2017.","Suboptimal air temperatures increase the risk of death from cerebrovascular diseases in Brazil, with cold temperatures increasing the risk in Manaus and Campo Grande, and heat temperatures increasing the risk in Manaus and Braslia.","Mikaela Santos Mascarenhas, Diego Duque da Silva, M. C. Nogueira, W. C. M. D. Farias, Cássia de Castro Martins Ferreira, Letícia de Castro Martins Ferreira",2022,6,"Cerebrovascular diseases (CVD) are one of the leading causes of mortality globally. Air temperature is one of the risk factors for CVD; however, few studies have investigated the relationship between air temperature and mortality from these diseases in Brazil. This time series study investigated the relationship between air temperature and CVD mortality in 10 microregions located across Brazil's five regions during the period 1996 to 2017 using mortality data from the national health information system, DATASUS and daily mean temperature data. The association between mean air temperature and mortality from CVD was measured using generalized additive models with Poisson distribution and relative and attributable risks were estimated together with 95% confidence intervals using distributed lag non-linear models and a 14-day lag. There were 531,733 deaths from CVD during the study period, 21,220 of which (11,138-30,546) were attributable to air temperature. Minimum mortality temperatures ranged from 20.1ºC in Curitiba to 29.6ºC in Belém. Associations between suboptimal air temperatures and increased risk of death from CVD were observed in all of Brazil's five regions. Relative risk from the cold was highest in Manaus (RR 1.53; 1.22-1.91) and Campo Grande (RR 1.52; 1.18-1.94), while relative risk from heat was highest in Manaus (RR 1.75; 1.35-2.26) and Brasília (RR 1.36; 1.15-1.60).","non-rct observational study","Ciencia & saude coletiva","2","10.1590/1413-81232022278.05092022","https://consensus.app/papers/the-effect-of-air-temperature-on-mortality-from-mascarenhas-silva/e3e9a251bd5e5f7f900a44f514b254bc/"
"Association of high ambient temperature with daily hospitalization for cardiorespiratory diseases in Brazil: A national time-series study between 2008 and 2018.","High ambient temperature in Brazil is associated with increased hospitalizations for cardiorespiratory diseases, particularly in women and the elderly.","W. Réquia, A. Vicedo-Cabrera, E. de Schrijver, H. Amini, A. Gasparrini",2023,8,"","","Environmental pollution","1","10.1016/j.envpol.2023.121851","https://consensus.app/papers/association-of-high-ambient-temperature-with-daily-r%C3%A9quia-vicedo-cabrera/8b0c9347741456198098457b7060ad8d/"
"City-level impact of extreme temperatures and mortality in Latin America","In Latin American cities, extreme temperatures significantly increase mortality risk, particularly among older adults and those with cardiovascular and respiratory diseases.","Josiah L. Kephart, Brisa N. Sánchez, Jeffrey N. Moore, Leah H. Schinasi, Maryia Bakhtsiyarava, Yang Ju, N. Gouveia, W. Caiaffa, I. Dronova, S. Arunachalam, A. D. Diez Roux, Daniel A. Rodríguez",2022,122,"","non-rct observational study","Nature Medicine","1","10.1038/s41591-022-01872-6","https://consensus.app/papers/citylevel-impact-of-extreme-temperatures-and-mortality-in-kephart-s%C3%A1nchez/45755f3001b554dca56ba514c5d73ad9/"
"Heat Wave and Elderly Mortality: Historical Analysis and Future Projection for Metropolitan Region of São Paulo, Brazil","Heat wave-related elderly mortality in the Metropolitan Region of Sao Paulo, Brazil, is projected to increase in the future, with the highest impact if no adaptation to climate change is considered.","F. R. Diniz, F. Gonçalves, Scott Sheridan",2020,34,"The Metropolitan Region of Sao Paulo (MRSP) is one of the main regions of Brazil that in recent years has shown an increase in the number of days with heat waves, mainly affecting the health of the most sensitive populations, such as the elderly. In this study, we identified the heat waves in the MRSP using three different definitions regarding the maximum daily temperature threshold. To analyze the impact of heat waves on elderly mortality, we used distributed lag nonlinear models (dlnm) and we quantified the heat wave-related excess mortality of elderly people from 1985 to 2005 and made projections for the near future (2030 to 2050) and the distant future (2079–2099) under the climate change scenarios RCP4.5 and RCP8.5 (RCP: Representative Concentration Paths). An important aspect of this research is that for the projections we take into account two assumptions: non-adaptation and adaptation to the future climate. Our projections show that the heat wave-related excess of elderly mortality will increase in the future, being highest when we consider no adaptation, mainly from cardiovascular diseases in women (up to 587 deaths per 100,000 inhabitants per year). This study can be used for public policies to implement preventive and adaptive measures in the MRSP.","non-rct observational study","Atmosphere","2","10.3390/atmos11090933","https://consensus.app/papers/heat-wave-and-elderly-mortality-historical-analysis-and-diniz-gon%C3%A7alves/7a294320373c5960b163fbb23a6b1756/"
"Future temperature-related mortality in Latin American cities under climate change and population scenarios.","","Maryia Bakhtsiyarava, Josiah L. Kephart, Brisa N Sánchez, M. Ramarao, Sarav Arunachalam, Nelson Gouveia, Iryna Dronova, Leah H Schinasi, Usama Bilal, W. T. Caiaffa, Andrea Jaffe, Ana V. Diez Roux, Daniel A. Rodríguez",2025,0,"","","Environment international","1","10.1016/j.envint.2025.109694","https://consensus.app/papers/future-temperaturerelated-mortality-in-latin-american-bakhtsiyarava-kephart/bbf6a94f765a514fad4f8bc2140e89b1/"
"Modification of temperature-related human mortality by area-level socioeconomic and demographic characteristics in Latin American cities","In Latin American cities, higher levels of poverty and income inequality are associated with higher cold-related mortality, while unexpected associations exist for heat-related mortality.","Maryia Bakhtsiyarava, Leah H. Schinasi, B. Sánchez, I. Dronova, Josiah L. Kephart, Yang Ju, N. Gouveia, W. Caiaffa, M. S. O'Neill, Goro Yamada, S. Arunachalam, A. Diez-Roux, Daniel A. Rodríguez",2022,17,"","meta-analysis","Social Science & Medicine (1982)","1","10.1016/j.socscimed.2022.115526","https://consensus.app/papers/modification-of-temperaturerelated-human-mortality-by-bakhtsiyarava-schinasi/a6175d1b5b6c5372a3365f19c0855520/"
"The Effects of Temperature on Mortality: Trends Over 19-Years in São Paulo, Brazil","Temperature-mortality associations in So Paulo, Brazil, have shifted towards a bimodal distribution, with most population groups experiencing a reduction in minimum mortality temperature, except elderly and Non-White males.","A. R. Barceló, D. Fecht, M. Pirani, F. Piel, Adelaide C. Nardocci, P. Vineis",2022,1,"Background: A community’s capacity to reduce its vulnerability to temperature is key to building resilience to climate change. We investigated difference in the adaptation to heat and cold between 2000 and 2018 by gender, age and ethnicity in São Paulo, Brazil.Methods: We fitted a quasi-Poison regression model combined with a time-varying distributed-lag non-linear model (tv-DLNM) to assess temporal changes in the temperature-mortality association. Models were adjusted for relative humidity, particulate matter <10µm, seasonality, long-term trends, and day-of-the-week. We assessed temporal changes via (a) the cumulative relative risk (cRR) curve, and (b) the minimum mortality temperature (MMT). Models were stratified by cause of death (cardiovascular diseases (CVD) and respiratory diseases), gender, year of education, age and ethnic group.Findings: Between 2000 and 2018, the average daily mean temperature was 19.6°C (min: 7.3°C, max: 28.0°C), with a shift towards a bimodal distribution. Overall, 4,471,000 deaths from non-external causes were recorded (CVD: 1,492,164 [33·4%], and respiratory diseases: 614,959 [13·8%]). We found a flattening of the cRR curves for some groups, yet the patterns were heterogeneous, and uncertainty was high for the temperature extremes. We observed a reduction in the MMT for most population groups, except elderly and Non-White males.Interpretation: Our findings highlight the importance of exploring adaptation patterns by population groups and revising periodically the associated risk to correctly inform climate change impact predictions and public health initiatives. Funding Information: Imperial College London PhD President Scholarship. Infrastructure support from the NIHR Imperial Biomedical Research Centre and Medical Research Council Centre for Environment and Health (MR/S019669/1, 2019-2024). Declaration of Interests: Authors declare no competing interests.Ethics Approval Statement: All procedures described here were approved by the ethics committee of the University of São Paulo (CAAE: 31664820.0.0000.5421) and conducted in accordance with Brazilian Law 13,709/2019 on protection of personal data.","","SSRN Electronic Journal","","10.2139/ssrn.4011892","https://consensus.app/papers/the-effects-of-temperature-on-mortality-trends-over-barcel%C3%B3-fecht/660b3d7661375b328fc442adbeb2da3c/"
"Effects of Air Temperature on Climate-Sensitive Mortality and Morbidity Outcomes in the Elderly; a Systematic Review and Meta-analysis of Epidemiological Evidence","A 1°C temperature rise increases elderly mortality and morbidity due to temperature-induced cerebrovascular, cardiovascular, diabetes, genitourinary, infectious disease, heat-related, and respiratory outcomes.","Aditi Bunker, Jan Wildenhain, A. Vandenbergh, N. Henschke, J. Rocklöv, S. Hajat, R. Sauerborn",2016,456,"","meta-analysis","EBioMedicine","1","10.1016/j.ebiom.2016.02.034","https://consensus.app/papers/effects-of-air-temperature-on-climatesensitive-mortality-bunker-wildenhain/17598d63f1df5e52b4cb7f62d695c1e7/"
"Productivity-adjusted life years lost due to non-optimum temperatures in Brazil: A nationwide time-series study.","Non-optimal temperatures in Brazil cause significant labor losses and economic costs, with extreme cold temperatures in the South and extreme hot temperatures in the Central West and Northeast regions.","Bo Wen, Z. Ademi, Yao Wu, R. Xu, P. Yu, Tingting Ye, M. Coelho, P. Saldiva, Yuming Guo, Shanshan Li",2023,5,"","meta-analysis","The Science of the total environment","1","10.1016/j.scitotenv.2023.162368","https://consensus.app/papers/productivityadjusted-life-years-lost-due-to-nonoptimum-wen-ademi/4a5ddfcfc96b5891851b3f20785087fb/"
"Effects of extreme temperature events on deaths and its interaction with air pollution.","","Chuanlong Cheng, Ying Liu, Chuang Han, Qidi Fang, Feng Cui, Xiujun Li",2024,23,"","","The Science of the total environment","1","10.1016/j.scitotenv.2024.170212","https://consensus.app/papers/effects-of-extreme-temperature-events-on-deaths-and-its-cheng-liu/53bf6b365d0250cc9d69ac7d9a83744f/"
"International study of temperature, heat and urban mortality: the 'ISOTHURM' project.","Urban populations in low- and middle-income countries experience increases in mortality due to both high and low temperatures, with thresholds varying based on climate and non-climate factors.","A. Mcmichael, P. Wilkinson, R. Kovats, S. Pattenden, S. Hajat, B. Armstrong, N. Vajanapoom, E. Niciu, H. Mahomed, C. Kingkeow, M. Košnik, M. O'Neill, I. Romieu, Matiana Ramírez-Aguilar, M. Barreto, N. Gouveia, B. Nikiforov",2008,621,"This study describes heat- and cold-related mortality in 12 urban populations in low- and middle-income countries, thereby extending knowledge of how diverse populations, in non-OECD countries, respond to temperature extremes. The cities were: Delhi, Monterrey, Mexico City, Chiang Mai, Bangkok, Salvador, São Paulo, Santiago, Cape Town, Ljubljana, Bucharest and Sofia. For each city, daily mortality was examined in relation to ambient temperature using autoregressive Poisson models (2- to 5-year series) adjusted for season, relative humidity, air pollution, day of week and public holidays. Most cities showed a U-shaped temperature-mortality relationship, with clear evidence of increasing death rates at colder temperatures in all cities except Ljubljana, Salvador and Delhi and with increasing heat in all cities except Chiang Mai and Cape Town. Estimates of the temperature threshold below which cold-related mortality began to increase ranged from 15 degrees C to 29 degrees C; the threshold for heat-related deaths ranged from 16 degrees C to 31 degrees C. Heat thresholds were generally higher in cities with warmer climates, while cold thresholds were unrelated to climate. Urban populations, in diverse geographic settings, experience increases in mortality due to both high and low temperatures. The effects of heat and cold vary depending on climate and non-climate factors such as the population disease profile and age structure. Although such populations will undergo some adaptation to increasing temperatures, many are likely to have substantial vulnerability to climate change. Additional research is needed to elucidate vulnerability within populations.","non-rct observational study","International journal of epidemiology","1","10.1093/ije/dyn086","https://consensus.app/papers/international-study-of-temperature-heat-and-urban-mcmichael-wilkinson/3759ca520d865ef983dc0a91264ae01a/"
"Socioeconomic inequality in vulnerability to all-cause and cause-specific hospitalisation associated with temperature variability: a time-series study in 1814 Brazilian cities.","In Brazil, less developed cities are more vulnerable to hospitalization due to temperature variability, highlighting the need for targeted interventions to mitigate adverse health effects.","R. Xu, Qi Zhao, M. Coelho, P. Saldiva, M. Abramson, Shanshan Li, Yuming Guo",2020,41,"","meta-analysis","The Lancet. Planetary health","1","10.1016/s2542-5196(20)30251-5","https://consensus.app/papers/socioeconomic-inequality-in-vulnerability-to-allcause-xu-zhao/f21f46fbc337509f81f07add2fb3b0d4/"
"Heat and Cardiovascular Mortality: An Epidemiological Perspective","Extreme heat is linked to increased cardiovascular disease mortality, particularly in vulnerable subgroups like older people, those with preexisting conditions, and the socioeconomically disadvantaged.","Nidhi Singh, A. T. Areal, S. Breitner, Siqi Zhang, S. Agewall, T. Schikowski, Alexandra Schneider",2024,28,"As global temperatures rise, extreme heat events are projected to become more frequent and intense. Extreme heat causes a wide range of health effects, including an overall increase in morbidity and mortality. It is important to note that while there is sufficient epidemiological evidence for heat-related increases in all-cause mortality, evidence on the association between heat and cause-specific deaths such as cardiovascular disease (CVD) mortality (and its more specific causes) is limited, with inconsistent findings. Existing systematic reviews and meta-analyses of epidemiological studies on heat and CVD mortality have summarized the available evidence. However, the target audience of such reviews is mainly limited to the specific field of environmental epidemiology. This overarching perspective aims to provide health professionals with a comprehensive overview of recent epidemiological evidence of how extreme heat is associated with CVD mortality. The rationale behind this broad perspective is that a better understanding of the effect of extreme heat on CVD mortality will help CVD health professionals optimize their plans to adapt to the changes brought about by climate change and heat events. To policymakers, this perspective would help formulate targeted mitigation, strengthen early warning systems, and develop better adaptation strategies. Despite the heterogeneity in evidence worldwide, due in part to different climatic conditions and population dynamics, there is a clear link between heat and CVD mortality. The risk has often been found to be higher in vulnerable subgroups, including older people, people with preexisting conditions, and the socioeconomically deprived. This perspective also highlights the lack of evidence from low- and middle-income countries and focuses on cause-specific CVD deaths. In addition, the perspective highlights the temporal changes in heat-related CVD deaths as well as the interactive effect of heat with other environmental factors and the potential biological pathways. Importantly, these various aspects of epidemiological studies have never been fully investigated and, therefore, the true extent of the impact of heat on CVD deaths remains largely unknown. Furthermore, this perspective also highlights the research gaps in epidemiological studies and the potential solutions to generate more robust evidence on the future consequences of heat on CVD deaths.","systematic review","Circulation Research","1","10.1161/circresaha.123.323615","https://consensus.app/papers/heat-and-cardiovascular-mortality-an-epidemiological-singh-areal/f16da8a7540e5a1c946f2aff84a92833/"
"Temporal changes in mortality impacts of heat wave and cold spell in Korea and Japan.","Heat wave risks have decreased over time, but their mortality burden increased in the 2010s compared to the 2000s, while cold spell risks have increased over time in Korea and Japan.","Whanhee Lee, Hayon Michelle Choi, Jae Young Lee, Da Hye Kim, Y. Honda, Ho Kim",2018,93,"","meta-analysis","Environment international","1","10.1016/j.envint.2018.04.017","https://consensus.app/papers/temporal-changes-in-mortality-impacts-of-heat-wave-and-cold-lee-choi/516e4af192c05f45ae37bf08c4ddd4af/"
"Global Variation in the Effects of Ambient Temperature on Mortality: A Systematic Evaluation","Both cold and hot temperatures increase the risk of mortality globally, with cold effects lasting for days and heat effects appearing quickly and lasting short periods.","Yuming Guo, A. Gasparrini, B. Armstrong, Shanshan Li, Benjawan Tawatsupa, A. Tobías, É. Lavigne, Micheline De Sousa Zanotti Stagliorio Coelho, M. Leone, Xiaochuan Pan, S. Tong, L. Tian, Ho Kim, M. Hashizume, Y. Honda, Y. Guo, Chang-fu Wu, Kornwipa Punnasiri, S. Yi, P. Michelozzi, P. Saldiva, Gail M. Williams",2014,517,"Background: Studies have examined the effects of temperature on mortality in a single city, country, or region. However, less evidence is available on the variation in the associations between temperature and mortality in multiple countries, analyzed simultaneously. Methods: We obtained daily data on temperature and mortality in 306 communities from 12 countries/regions (Australia, Brazil, Thailand, China, Taiwan, Korea, Japan, Italy, Spain, United Kingdom, United States, and Canada). Two-stage analyses were used to assess the nonlinear and delayed relation between temperature and mortality. In the first stage, a Poisson regression allowing overdispersion with distributed lag nonlinear model was used to estimate the community-specific temperature-mortality relation. In the second stage, a multivariate meta-analysis was used to pool the nonlinear and delayed effects of ambient temperature at the national level, in each country. Results: The temperatures associated with the lowest mortality were around the 75th percentile of temperature in all the countries/regions, ranging from 66th (Taiwan) to 80th (UK) percentiles. The estimated effects of cold and hot temperatures on mortality varied by community and country. Meta-analysis results show that both cold and hot temperatures increased the risk of mortality in all the countries/regions. Cold effects were delayed and lasted for many days, whereas heat effects appeared quickly and did not last long. Conclusions: People have some ability to adapt to their local climate type, but both cold and hot temperatures are still associated with increased risk of mortality. Public health strategies to alleviate the impact of ambient temperatures are important, in particular in the context of climate change.","meta-analysis","Epidemiology","3","10.1097/ede.0000000000000165","https://consensus.app/papers/global-variation-in-the-effects-of-ambient-temperature-on-guo-gasparrini/42ca938fab8a59f596f058e11e791e8e/"
